recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
78,4,2 cloves Garlic,2,clove,Garlic,,,auto
78,5,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),,,auto
78,6,1 Green Chilli - finely chopped,1,,Green Chilli,finely chopped,,auto
78,7,1 teaspoon Turmeric powder (Haldi),1,teaspoon,Turmeric powder (Haldi),,,auto
78,8,2 sprig Curry leaves,2,sprig,Curry leaves,,,auto
78,9,Salt - to taste,nan,,Salt,,,reviewed
78,10,4 Papad,4,,Papad,,,auto
79,1,1-1/2 Green peas (Matar),1-1/2,cup,Green peas (Matar),(fixed from original recipe),,reviewed
79,2,1 Onion - finely chopped,1,,Onion,finely chopped,,auto
79,3,1/2 cup Fresh coconut - grated,1/2,cup,Fresh coconut,grated,Fresh,auto
79,4,4 Green Chillies,4,,Green Chillies,,,auto
79,5,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),,,auto
79,6,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
79,7,1 teaspoon Fennel seeds (Saunf),1,teaspoon,Fennel seeds (Saunf),,,auto
79,8,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
79,9,Salt - to taste,nan,,Salt,,,reviewed
79,10,1 teaspoon Sunflower Oil,1,teaspoon,Sunflower Oil,,,auto
80,1,500 grams Chicken - curry cut,500,gram,Chicken,curry cut,,auto
80,2,3 Onions - sliced,3,,Onions,sliced,,auto
80,3,4 Tomatoes - chopped,4,,Tomatoes,chopped,,auto
80,4,1 inch Ginger - minced,1,inch,Ginger,minced,,reviewed
80,5,10 cloves Garlic - minced,10,clove,Garlic,minced,,auto
80,6,1/2 teaspoon Red Chilli powder,1/2,teaspoon,Red Chilli powder,,,auto
80,7,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),,,auto
80,8,2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),2,teaspoon,Chicken masala,,,reviewed
80,9,1 cup Fresh coconut - grated,1,cup,Fresh coconut,grated,Fresh,auto
80,10,2 Cloves (Laung),2,clove,Cloves (Laung),cloves,,reviewed
80,11,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),,,reviewed
80,12,Curry leaves - Handful,1,handful,Curry leaves,,,reviewed
80,13,2 tablespoons Coconut Oil,2,tablespoon,Coconut Oil,,,auto
81,1,400 grams Chicken - cut into medium sized pieces,400,gram,Chicken,cut into medium sized pieces,,auto
81,2,1/2 cup Curd (Dahi / Yogurt),1/2,cup,Curd (Dahi / Yogurt),,,auto
81,3,1 teaspoon Turmeric powder (Haldi),1,teaspoon,Turmeric powder (Haldi),,,auto
81,4,1 teaspoon Sunflower Oil,1,teaspoon,Sunflower Oil,,,auto
81,5,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
