norm_key,n_lines,bucket,n_codes,ifct_code,ifct_name
crab,1,multiple,2,S007,Crab
cucumber,1,no_hit,0,,
curry leaf,1,no_hit,0,,
dried fig,1,no_hit,0,,
egg white,1,no_hit,0,,
egg yolk,1,no_hit,0,,
enos fruit salt,1,no_hit,0,,
extra virgin olive oil,1,no_hit,0,,
fish fillet,1,no_hit,0,,
galic,1,no_hit,0,,
garlic paste,1,no_hit,0,,
glazed cherry,1,no_hit,0,,
gram flour besan,1,no_hit,0,,
green chawli bean yard long bean karamani barbati,1,no_hit,0,,
guava,1,no_hit,0,,
guava juice,1,no_hit,0,,
homemade tomato puree,1,no_hit,0,,
horse gram dal kollu/ kulith,1,no_hit,0,,
hot water,1,no_hit,0,,
icing sugar,1,no_hit,0,,
jackfruit seed kathal,1,no_hit,0,,
kala chana brown chickpea,1,no_hit,0,,
karela bitter gourd/ pavakkai,1,no_hit,0,,
kashmiri red chili powder,1,no_hit,0,,
mango,1,no_hit,0,,
mixed dry fruit apricot,1,no_hit,0,,
mixed vegetable french bean,1,no_hit,0,,
mixed vegetable potato,1,no_hit,0,,
mixed nut almond,1,no_hit,0,,
mooli mullangi radish,1,no_hit,0,,
mustard oil,1,unique,1,T006,Mustard oil
orange,1,no_hit,0,,
palm sugar,1,no_hit,0,,
papad,1,no_hit,0,,
papaya,1,no_hit,0,,
papaya juice,1,no_hit,0,,
poppy seed,1,unique,1,G032,Poppy seeds
prawn tiger,1,unique,1,S010,Tiger prawns
ragi flour finger millet/ nagli,1,no_hit,0,,
rasam powder,1,no_hit,0,,
raw peanut moongphali,1,no_hit,0,,
red chilli flake,1,no_hit,0,,
red black eyed bean azuki,1,no_hit,0,,
rice ada,1,no_hit,0,,
rice puttu,1,no_hit,0,,
saffron strand,1,no_hit,0,,
sambar powder,1,no_hit,0,,
sardine fish mati,1,no_hit,0,,
sardine fish,1,no_hit,0,,
shrimp,1,no_hit,0,,
squid,1,no_hit,0,,
sweet potato,1,no_hit,0,,
tulsi holy basil,1,no_hit,0,,
vanilla extract,1,no_hit,0,,
vivatta maida,1,no_hit,0,,
yam,1,no_hit,0,,
arabic,1,no_hit,0,,
black gram,1,no_hit,0,,
brinjal,1,multiple,22,D010,Brinjal 1
brinjal,1,multiple,22,D011,Brinjal 2
brinjal,1,multiple,22,D012,Brinjal 3
brinjal,1,multiple,22,D013,Brinjal 4
brinjal,1,multiple,22,D014,Brinjal 5
brinjal,1,multiple,22,D015,Brinjal 6
brinjal,1,multiple,22,D016,Brinjal 7
brinjal,1,multiple,22,D017,Brinjal 8
brinjal,1,multiple,22,D018,Brinjal 9
brinjal,1,multiple,22,D019,Brinjal 10
brinjal,1,multiple,22,D020,Brinjal 11
brinjal,1,multiple,22,D021,Brinjal 12
