code,name,grup,name_key,n_sharing_key
R002,"Clam, white shell, ribbed",Marine Mollusks,clam white shell ribbed,1
R003,Octopus,Marine Mollusks,octopus,1
R004,"Squid, black",Marine Mollusks,squid black,1
R005,"Squid, hard shell",Marine Mollusks,squid hard shell,1
R006,"Squid, red",Marine Mollusks,squid red,1
R007,"Squid, white, small",Marine Mollusks,squid white small,1
S001,Cat fish,Fresh Water Fish and Shellfish,cat fish,2
S002,Catla,Fresh Water Fish and Shellfish,catla,1
S003,Fresh water Eel,Fresh Water Fish and Shellfish,fresh water eel,1
S004,Gold fish,Fresh Water Fish and Shellfish,gold fish,1
S005,Pangas,Fresh Water Fish and Shellfish,pangas,1
S006,Rohu,Fresh Water Fish and Shellfish,rohu,1
S007,Crab,Fresh Water Fish and Shellfish,crab,2
S008,"Prawns, big",Fresh Water Fish and Shellfish,prawn big,1
S009,"Prawns, small",Fresh Water Fish and Shellfish,prawn small,1
S010,Tiger prawns,Fresh Water Fish and Shellfish,tiger prawn,1
T001,Coconut oil,Edible Oils and Fats,coconut oil,1
T002,Corn oil,Edible Oils and Fats,corn oil,1
T003,Cotton seed oil,Edible Oils and Fats,cotton seed oil,1
T004,Gingelly oil,Edible Oils and Fats,gingelly oil,1
T005,Groundnut oil,Edible Oils and Fats,groundnut oil,1
T006,Mustard oil,Edible Oils and Fats,mustard oil,1
T007,Palm oil,Edible Oils and Fats,palm oil,1
T008,Rice bran oil,Edible Oils and Fats,rice bran oil,1
T009,Safflower oil,Edible Oils and Fats,safflower oil,1
T010,Safflower oil (blended),Edible Oils and Fats,safflower oil blended,1
T011,Soyabean oil,Edible Oils and Fats,soyabean oil,1
T012,Sunflower oil,Edible Oils and Fats,sunflower oil,1
T013,Ghee,Edible Oils and Fats,ghee,1
T014,Vanaspati,Edible Oils and Fats,vanaspati,1
