recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,corrected_name,corrected_qty,corrected_unit,corrected_state
110,5,1 teaspoon Red Chilli flakes - adjust as per spice tolerance,state,Red Chilli flakes,Red Chilli flakes,1,1,teaspoon,teaspoon,adjust as per spice tolerance,,adjust as per spice tolerance,,Red Chilli flakes,1,teaspoon,
110,6,Salt - as per taste,state,Salt,Salt,,,,,as per taste,,as per taste,,Salt,,,
110,8,Coconut Oil - enough to shallow fry,state,Coconut Oil,Coconut Oil,,,,,enough to shallow fry,,enough to shallow fry,,Coconut Oil,,,
110,9,2 tablespoons Fresh coconut - pieces,qty;unit;state,Fresh coconut,Fresh coconut,2,1,tablespoons,piece,pieces,,,,Fresh coconut,2,tablespoons,pieces
111,1,1 cup Rice puttu - or wheat puttu,name;state,Rice puttu,Rice puttu; wheat puttu,1,1,cup,cup,or wheat puttu,,,,Rice puttu,1,cup,
111,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
112,1,250 grams Horse Gram Dal (Kollu/ Kulith) - Sprouted,name,Horse Gram Dal (Kollu/ Kulith),Horse Grams Dal Kulith,250,250,grams,gram,Sprouted,Sprouted,Kollu,,Horse Gram Dal (Kollu/ Kulith),250,grams,
112,5,1/2 inch Ginger,qty;unit,Ginger,Ginger,1/2,,inch,,,,,,Ginger, 1/2,inch,
112,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
113,6,3 Garlic - cloves,unit;state,Garlic,Garlic,3,3,,cloves,cloves,,,,Garlic,3,clove,
114,2,1 cup Cashew nuts - unsalted,name;state,Cashew nuts,Cashew nuts - unsalted,1,1,cup,cup,unsalted,,,,Cashew nuts,1,cup,unsalted
114,3,1 cup Jaggery - powdered or brown sugar,name;state,Jaggery,Jaggery; powdered brown sugar,1,1,cup,cup,powdered or brown sugar,,,,Jaggery,1,cup,powdered
115,15,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,Coconut Oil,,,
115,16,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
116,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
116,6,1 cup Curd (Dahi / Yogurt) - thick and sour,state,Curd (Dahi / Yogurt),Curd (Dahi / Yogurt),1,1,cup,cup,thick and sour,,"Dahi, thick and sour",,Curd (Dahi / Yogurt),1,cup,thick and sour
117,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
117,15,2 inch Ginger,qty;unit,Ginger,Ginger,2,,inch,,,,,,Ginger,2,inch,
117,18,1-1/2 teaspoon Whole Black Peppercorns,qty,Whole Black Peppercorns,Whole Black Peppercorns,1-1/2,1/2,teaspoon,teaspoon,,,,,Whole Black Peppercorns,1 1/2,teaspoon,
117,19,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,Cinnamon Stick (Dalchini),1,inch,
