ifct_code,ifct_name,food_group,energy_kcal,energy_kj,protein_g,carb_g,fat_g,fibre_g
O006,"Goat, lungs",Animal Meat,95.8,401.0,16.86,0.0,3.09,0.0
O007,"Goat, heart",Animal Meat,117.6,492.0,19.38,0.0,4.4,0.0
O008,"Goat, liver",Animal Meat,125.7,526.0,20.32,0.0,4.88,0.0
O009,"Goat, tripe",Animal Meat,92.3,386.0,15.36,0.0,3.36,0.0
O010,"Goat, spleen",Animal Meat,95.8,401.0,18.45,0.0,2.37,0.0
O011,"Goat, kidneys",Animal Meat,89.4,374.0,15.6,0.0,2.93,0.0
O012,"Goat, tube (small intestine)",Animal Meat,125.5,525.0,12.92,0.0,8.26,0.0
O013,"Goat, testis",Animal Meat,71.2,298.0,12.32,0.0,2.39,0.0
O014,"Sheep, shoulder",Animal Meat,200.8,840.0,18.24,0.0,14.31,0.0
O015,"Sheep, chops",Animal Meat,118.5,496.0,18.0,0.0,5.15,0.0
O016,"Sheep, leg",Animal Meat,164.0,686.0,21.42,0.0,8.69,0.0
O017,"Sheep, brain",Animal Meat,117.6,492.0,13.05,0.0,7.29,0.0
O018,"Sheep, tongue",Animal Meat,187.1,783.0,16.61,0.0,13.53,0.0
O019,"Sheep, lungs",Animal Meat,86.8,363.0,16.12,0.0,2.41,0.0
O020,"Sheep, heart",Animal Meat,106.4,445.0,18.19,0.0,3.66,0.0
O021,"Sheep, liver",Animal Meat,133.6,559.0,22.26,0.0,4.87,0.0
O022,"Sheep, tripe",Animal Meat,104.0,435.0,16.76,0.0,4.05,0.0
O023,"Sheep, spleen",Animal Meat,91.8,384.0,16.02,0.0,3.02,0.0
O024,"Sheep, kidneys",Animal Meat,91.8,384.0,16.22,0.0,2.92,0.0
O025,"Beef, shoulder",Animal Meat,212.5,889.0,20.56,0.0,14.59,0.0
O026,"Beef, chops",Animal Meat,139.8,585.0,19.82,0.0,6.71,0.0
O027,"Beef, round (leg)",Animal Meat,157.3,658.0,22.64,0.0,7.38,0.0
O028,"Beef, brain",Animal Meat,125.0,523.0,10.55,0.0,9.28,0.0
O029,"Beef, tongue",Animal Meat,174.7,731.0,15.63,0.0,12.57,0.0
O030,"Beef, lungs",Animal Meat,83.9,351.0,15.66,0.0,2.28,0.0
O031,"Beef, heart",Animal Meat,103.5,433.0,17.68,0.0,3.57,0.0
O032,"Beef, liver",Animal Meat,119.3,499.0,20.73,0.0,3.96,0.0
O033,"Beef, tripe",Animal Meat,75.5,316.0,13.1,0.0,2.51,0.0
O034,"Beef, spleen",Animal Meat,90.3,378.0,17.42,0.0,2.22,0.0
O035,"Beef, kidneys",Animal Meat,104.9,439.0,17.09,0.0,4.01,0.0
O036,"Calf, shoulder",Animal Meat,151.3,633.0,20.98,0.0,7.47,0.0
O037,"Calf, chops",Animal Meat,125.2,524.0,22.47,0.0,3.85,0.0
O038,"Calf, round (leg)",Animal Meat,147.0,615.0,21.1,0.0,6.92,0.0
O039,"Calf, brain",Animal Meat,107.1,448.0,9.84,0.0,7.6,0.0
O040,"Calf, tongue",Animal Meat,176.1,737.0,17.78,0.0,11.76,0.0
O041,"Calf, heart",Animal Meat,109.7,459.0,18.84,0.0,3.75,0.0
O042,"Calf, liver",Animal Meat,120.2,503.0,21.02,0.0,3.95,0.0
O043,"Calf, spleen",Animal Meat,90.6,379.0,17.71,0.0,2.12,0.0
O044,"Calf, kidneys",Animal Meat,92.5,387.0,15.16,0.0,3.5,0.0
O045,"Mithun, shoulder",Animal Meat,175.9,736.0,19.05,0.0,11.14,0.0
O046,"Mithun, chops",Animal Meat,128.1,536.0,18.19,0.0,6.12,0.0
O047,"Mithun, round (leg)",Animal Meat,115.9,485.0,19.61,0.0,4.1,0.0
O048,"Pork, shoulder",Animal Meat,237.3,993.0,17.41,0.0,18.83,0.0
O049,"Pork, chops",Animal Meat,178.8,748.0,19.41,0.0,11.3,0.0
O050,"Pork, ham",Animal Meat,240.4,1006.0,18.83,0.0,18.55,0.0
O051,"Pork, lungs",Animal Meat,85.6,358.0,15.13,0.0,2.74,0.0
O052,"Pork, heart",Animal Meat,109.2,457.0,16.31,0.0,4.87,0.0
O053,"Pork, liver",Animal Meat,115.7,484.0,19.89,0.0,3.94,0.0
O054,"Pork, stomach",Animal Meat,131.5,550.0,15.36,0.0,7.81,0.0
O055,"Pork, spleen",Animal Meat,85.3,357.0,15.13,0.0,2.71,0.0
O056,"Pork, kidneys",Animal Meat,90.6,379.0,14.35,0.0,3.65,0.0
O057,"Pork, tube (small intestine)",Animal Meat,140.3,587.0,14.96,0.0,8.98,0.0
O058,"Hare, shoulder",Animal Meat,144.1,603.0,21.13,0.0,6.58,0.0
O059,"Hare, chops",Animal Meat,106.4,445.0,20.62,0.0,2.55,0.0
O060,"Hare, leg",Animal Meat,120.2,503.0,20.52,0.0,4.16,0.0
O061,"Rabbit, shoulder",Animal Meat,151.8,635.0,20.01,0.0,7.96,0.0
O062,"Rabbit, chops",Animal Meat,135.0,565.0,22.61,0.0,4.88,0.0
O063,"Rabbit, leg",Animal Meat,139.6,584.0,21.31,0.0,5.99,0.0
P001,Allathi,Marine Fish,97.0,406.0,21.77,0.0,0.98,0.0
P002,Aluva,Marine Fish,103.7,434.0,21.63,0.0,1.8,0.0
P003,Anchovy,Marine Fish,87.7,367.0,19.88,0.0,0.78,0.0
P004,Ari fish,Marine Fish,99.2,415.0,22.01,0.0,1.11,0.0
P005,Betki,Marine Fish,67.9,284.0,15.28,0.0,0.29,0.0
P006,Black snapper,Marine Fish,90.1,377.0,19.5,0.0,1.24,0.0
P007,Bombay duck,Marine Fish,68.6,287.0,13.53,0.0,1.03,0.0
P008,Bommuralu,Marine Fish,115.9,485.0,22.3,0.0,2.87,0.0
P009,Cat fish,Marine Fish,109.0,456.0,22.18,0.0,2.13,0.0
P010,Chakla,Marine Fish,97.0,406.0,20.21,0.0,1.68,0.0
P011,Chappal,Marine Fish,75.8,317.0,17.17,0.0,0.67,0.0
P012,Chelu,Marine Fish,87.5,366.0,20.02,0.0,0.7,0.0
P013,Chembali,Marine Fish,97.0,406.0,20.06,0.0,1.77,0.0
P014,Eri meen,Marine Fish,108.5,454.0,22.3,0.0,2.02,0.0
P015,Gobro,Marine Fish,86.5,362.0,19.37,0.0,0.88,0.0
P016,Guitar fish,Marine Fish,95.6,400.0,22.56,0.0,0.44,0.0
P017,Hilsa,Marine Fish,258.8,1083.0,21.8,0.0,18.49,0.0
P018,Jallal,Marine Fish,100.4,420.0,21.55,0.0,1.46,0.0
P019,Jathi vela meen,Marine Fish,108.3,453.0,22.45,0.0,1.92,0.0
P020,Kadal bral,Marine Fish,88.0,368.0,18.72,0.0,1.34,0.0
P021,Kadali,Marine Fish,126.7,530.0,22.07,0.0,4.2,0.0
P022,Kalamaara,Marine Fish,125.0,523.0,20.89,0.0,4.54,0.0
P023,Kalava,Marine Fish,89.4,374.0,19.38,0.0,1.2,0.0
P024,Kanamayya,Marine Fish,87.7,367.0,20.19,0.0,0.65,0.0
P025,Kannadi paarai,Marine Fish,101.1,423.0,22.09,0.0,1.27,0.0
P026,Karimeen,Marine Fish,92.3,386.0,19.68,0.0,1.38,0.0
P027,Karnagawala,Marine Fish,86.8,363.0,19.52,0.0,0.84,0.0
P028,Kayrai,Marine Fish,108.5,454.0,20.15,0.0,3.0,0.0
P029,Kiriyan,Marine Fish,132.9,556.0,22.49,0.0,4.7,0.0
P030,Kite fish,Marine Fish,98.7,413.0,23.07,0.0,0.56,0.0
P031,Korka,Marine Fish,126.2,528.0,23.72,0.0,3.36,0.0
P032,Kulam paarai,Marine Fish,119.7,501.0,21.62,0.0,3.6,0.0
P033,Maagaa,Marine Fish,87.5,366.0,20.11,0.0,0.67,0.0
P034,Mackerel,Marine Fish,101.1,423.0,21.51,0.0,1.53,0.0
P035,Manda clathi,Marine Fish,95.1,398.0,21.27,0.0,1.0,0.0
P036,Matha,Marine Fish,93.0,389.0,21.17,0.0,0.79,0.0
P037,Milk fish,Marine Fish,105.6,442.0,23.66,0.0,1.09,0.0
P038,Moon fish,Marine Fish,125.7,526.0,20.74,0.0,4.69,0.0
P039,Mullet,Marine Fish,93.9,393.0,20.23,0.0,1.32,0.0
P040,Mural,Marine Fish,82.5,345.0,19.04,0.0,0.58,0.0
P041,Myil meen,Marine Fish,98.0,410.0,22.89,0.0,0.56,0.0
P042,Nalla bontha,Marine Fish,87.0,364.0,19.82,0.0,0.72,0.0
P043,Narba,Marine Fish,103.3,432.0,21.95,0.0,1.6,0.0
P044,Paarai,Marine Fish,104.0,435.0,21.58,0.0,1.84,0.0
P045,Padayappa,Marine Fish,86.0,360.0,19.7,0.0,0.69,0.0
P046,Pali kora,Marine Fish,94.2,394.0,19.25,0.0,1.81,0.0
P047,Pambada,Marine Fish,128.3,537.0,21.95,0.0,4.44,0.0
P048,Pandukopa,Marine Fish,86.0,360.0,19.73,0.0,0.65,0.0
P049,Parava,Marine Fish,111.6,467.0,21.5,0.0,2.74,0.0
P050,Parcus,Marine Fish,86.3,361.0,19.87,0.0,0.62,0.0
P051,Parrot fish,Marine Fish,89.6,375.0,20.82,0.0,0.57,0.0
P052,Perinkilichai,Marine Fish,92.5,387.0,20.89,0.0,0.87,0.0
P053,Phopat,Marine Fish,101.3,424.0,22.05,0.0,1.33,0.0
P054,Piranha,Marine Fish,131.2,549.0,20.46,0.0,5.43,0.0
P055,"Pomfret, black",Marine Fish,123.1,515.0,18.91,0.0,4.83,0.0
P056,"Pomfret, snub nose",Marine Fish,89.6,375.0,21.05,0.0,0.46,0.0
P057,"Pomfret, white",Marine Fish,122.6,513.0,19.02,0.0,5.12,0.0
P058,Pranel,Marine Fish,96.8,405.0,19.69,0.0,1.89,0.0
P059,Pulli paarai,Marine Fish,95.4,399.0,20.06,0.0,1.55,0.0
P060,Queen fish,Marine Fish,95.6,400.0,20.97,0.0,1.17,0.0
P061,Raai fish,Marine Fish,102.8,430.0,21.61,0.0,1.69,0.0
P062,Raai vanthu,Marine Fish,98.0,410.0,19.39,0.0,2.17,0.0
P063,Rani,Marine Fish,90.1,377.0,18.83,0.0,1.49,0.0
P064,"Ray fish, bow head, spotted",Marine Fish,83.4,349.0,19.03,0.0,0.7,0.0
P065,Red snapper,Marine Fish,104.4,437.0,22.79,0.0,1.34,0.0
P066,"Red snapper, small",Marine Fish,107.8,451.0,21.5,0.0,2.3,0.0
P067,Sadaya,Marine Fish,110.4,462.0,20.68,0.0,2.97,0.0
P068,Salmon,Marine Fish,172.3,721.0,20.97,0.0,9.86,0.0
P069,Sangada,Marine Fish,105.9,443.0,20.26,0.0,2.67,0.0
P070,Sankata parai,Marine Fish,103.7,434.0,21.87,0.0,1.68,0.0
P071,Sardine,Marine Fish,152.2,637.0,17.91,0.0,8.99,0.0
P072,Shark,Marine Fish,95.1,398.0,21.6,0.0,0.83,0.0
P073,"Shark, hammer head",Marine Fish,103.3,432.0,23.4,0.0,0.8,0.0
P074,"Shark, spotted",Marine Fish,91.8,384.0,20.95,0.0,0.75,0.0
P075,Shelavu,Marine Fish,106.6,446.0,22.46,0.0,1.74,0.0
P076,Silan,Marine Fish,151.3,633.0,22.72,0.0,6.68,0.0
P077,Silk fish,Marine Fish,97.5,408.0,20.65,0.0,1.53,0.0
P078,Silver carp,Marine Fish,132.6,555.0,21.71,0.0,5.17,0.0
P079,Sole fish,Marine Fish,87.7,367.0,19.05,0.0,1.18,0.0
P080,Stingray,Marine Fish,97.5,408.0,23.98,0.0,0.68,0.0
P081,Tarlava,Marine Fish,98.9,414.0,21.72,0.0,1.2,0.0
P082,Tholam,Marine Fish,103.3,432.0,20.78,0.0,2.13,0.0
P083,Tilapia,Marine Fish,83.4,349.0,18.48,0.0,1.08,0.0
P084,Tuna,Marine Fish,112.3,470.0,24.5,0.0,1.44,0.0
P085,"Tuna, striped",Marine Fish,96.3,403.0,21.28,0.0,1.12,0.0
P086,Valava,Marine Fish,98.0,410.0,21.8,0.0,1.06,0.0
P087,Vanjaram,Marine Fish,136.2,570.0,22.28,0.0,5.18,0.0
P088,Vela meen,Marine Fish,128.3,537.0,22.16,0.0,4.34,0.0
P089,Vora,Marine Fish,100.9,422.0,20.14,0.0,2.14,0.0
P090,Whale shark,Marine Fish,95.8,401.0,21.83,0.0,0.82,0.0
P091,Xiphinis,Marine Fish,88.4,370.0,19.82,0.0,0.88,0.0
P092,"Eggs, cat fish",Marine Fish,143.4,600.0,24.68,0.0,5.28,0.0
Q001,Crab,Marine Shellfish,82.0,343.0,10.23,0.0,1.41,0.0
Q002,"Crab, sea",Marine Shellfish,67.6,283.0,15.36,0.0,0.6,0.0
Q003,"Lobster, brown",Marine Shellfish,69.8,292.0,15.96,0.0,0.56,0.0
Q004,"Lobster, king size",Marine Shellfish,89.6,375.0,18.54,0.0,0.78,0.0
Q005,Mud crab,Marine Shellfish,45.4,190.0,10.0,0.0,0.55,0.0
Q006,Oyster,Marine Shellfish,60.2,252.0,9.51,0.0,2.44,0.0
Q007,"Tiger prawns, brown",Marine Shellfish,65.2,273.0,14.85,0.0,0.56,0.0
Q008,"Tiger Prawns, orange",Marine Shellfish,64.5,270.0,14.25,0.0,0.74,0.0
R001,"Clam, green shell",Marine Mollusks,58.1,243.0,12.14,0.0,0.98,0.0
R002,"Clam, white shell, ribbed",Marine Mollusks,59.8,250.0,11.82,0.0,1.34,0.0
R003,Octopus,Marine Mollusks,79.8,334.0,14.71,0.0,1.12,0.0
R004,"Squid, black",Marine Mollusks,80.1,335.0,16.1,0.0,1.07,0.0
R005,"Squid, hard shell",Marine Mollusks,76.5,320.0,16.82,0.0,0.93,0.0
R006,"Squid, red",Marine Mollusks,78.6,329.0,16.25,0.0,1.44,0.0
R007,"Squid, white, small",Marine Mollusks,84.4,353.0,17.41,0.0,1.15,0.0
S001,Cat fish,Fresh Water Fish and Shellfish,123.8,518.0,15.86,0.0,6.24,0.0
S002,Catla,Fresh Water Fish and Shellfish,94.2,394.0,17.94,0.0,2.15,0.0
S003,Fresh water Eel,Fresh Water Fish and Shellfish,107.8,451.0,20.41,0.0,2.63,0.0
S004,Gold fish,Fresh Water Fish and Shellfish,94.6,396.0,16.91,0.0,2.94,0.0
S005,Pangas,Fresh Water Fish and Shellfish,203.6,852.0,17.12,0.0,16.77,0.0
S006,Rohu,Fresh Water Fish and Shellfish,102.3,428.0,19.71,0.0,2.39,0.0
S007,Crab,Fresh Water Fish and Shellfish,78.2,327.0,13.23,0.0,0.89,0.0
S008,"Prawns, big",Fresh Water Fish and Shellfish,90.8,380.0,19.24,0.0,0.52,0.0
S009,"Prawns, small",Fresh Water Fish and Shellfish,71.0,297.0,13.07,0.0,0.78,0.0
S010,Tiger prawns,Fresh Water Fish and Shellfish,67.9,284.0,14.24,0.0,0.66,0.0
T001,Coconut oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T002,Corn oil,Edible Oils and Fats,,,0.0,0.0,100.01,0.0
T003,Cotton seed oil,Edible Oils and Fats,,,0.0,0.0,99.99,0.0
T004,Gingelly oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T005,Groundnut oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T006,Mustard oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T007,Palm oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T008,Rice bran oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T009,Safflower oil,Edible Oils and Fats,,,0.0,0.0,100.01,0.0
T010,Safflower oil (blended),Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T011,Soyabean oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T012,Sunflower oil,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T013,Ghee,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
T014,Vanaspati,Edible Oils and Fats,,,0.0,0.0,100.0,0.0
LOC001,"Salt, common (sodium chloride)",Local,0.0,0.0,0.0,0.0,0.0,0.0
LOC002,"Water, drinking",Local,0.0,0.0,0.0,0.0,0.0,0.0
