recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
81,11,40 grams Instant Oats (Oatmeal) - Masala one,Masala one,,Masala,,,,Possible join
82,16,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
82,17,Salt - to taste,to taste,,to taste,,,to taste,
83,12,Salt - to taste,to taste,,to taste,,,to taste,
84,4,salt - as per taste,as per taste,,as per taste,,,to taste,
84,5,1 tablespoon olive oil - as per use,as per use,,as per use,,,as per use,
85,7,Ghee - as required,as required,,as required,,,as required,
86,9,Salt - to taste,to taste,,to taste,,,to taste,
86,15,Salt - to taste,to taste,,to taste,,,to taste,
87,6,Salt - to taste,to taste,,to taste,,,to taste,
87,9,1/2 cup Fresh coconut - pieces,pieces,,,,pieces,,
88,4,1 cup Coconut milk - thick (1st extract),thick (1st extract),,thick (1st extract),,,thick,size
88,5,1-1/2 cups Coconut milk - (2nd & 3rd extract),(2nd & 3rd extract),,(2nd & 3rd extract),,,(2nd and third extract),
88,8,2 teaspoons Fresh coconut - slices,slices,,,,sliced,,
88,10,Ghee - as required,as required,,as required,,,as required,
89,5,Salt - to taste,to taste,,to taste,,,to taste,
91,4,Salt - to taste,to taste,,to taste,,,to taste,
92,9,Salt - to taste,to taste,,to taste,,,to taste,
92,10,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
93,1,1 cup Cauliflower (gobi) - florets,florets,,,,,,
93,3,2 to 3 tablespoons Green peas (Matar) - fresh or frozen,fresh or frozen,,fresh or frozen,,,Fresh/frozen,dry/raw
93,14,1 cup Coconut milk - thin,thin,,thin,,,thin,size
93,15,1/2 cup Coconut milk - thick,thick,,,,,thick,sizee
93,16,Salt - as required,as required,,as required,,,as required,
93,18,Sunflower Oil - as required,as required,,as required,,,as required,
94,11,Salt - to taste,to taste,,to taste,,,to taste,
95,7,Salt - to taste,to taste,,to taste,,,to taste,
96,7,1/2 tsp cardamom powder - more or less,more or less,,more or less,,,adjust,
96,8,3 tbsp jaggery - Add more or less salt to taste,Add more or less salt to taste,,Add more or less salt to taste,,,more or less salt to taste,
97,12,Salt - to taste,to taste,,to taste,,,to taste,
98,1,250 grams small potatoes - half cut,half cut,,half cut,,half cut,,
98,16,coconut oil - to cook,to cook,,to cook,,,to cook,
98,17,salt - to taste,to taste,,to taste,,,to taste,
99,1,1 cup Red matta rice - or Basmati Rice,or Basmati Rice,,,,,or basmatic rice,sub
100,14,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
100,15,Salt - to taste,to taste,,to taste,,,to taste,
100,19,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
101,2,turmeric powder - a pinch,a pinch,,a pinches,,,a pinch,amt
101,6,salt - 1 sprig curry leaves,1 sprig curry leaves,,,,,,possible error join
101,8,Coconut oil - as per use,as per use,,as per use,,,as per use,
102,8,Sunflower Oil - as required,as required,,as required,,,as required,
102,9,Salt - to taste,to taste,,to taste,,,to taste,
102,10,Salt - to taste,to taste,,to taste,,,to taste,
103,8,Salt - to taste,to taste,,to taste,,,to taste,
