recipe_id,line_no,raw_line,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,flag_name_disagree,flag_qty_disagree,flag_unit_disagree,corrected_name,corrected_qty,corrected_unit
127,6,1 teaspoon Coconut Oil - or regular oil,Coconut Oil,Coconut Oil; regular oil,1,1,teaspoon,teaspoon,TRUE,FALSE,FALSE,Coconut Oil,1    ,teaspoon
128,3,1 inch Ginger - finely chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
128,8,1/4 cup Fresh coconut - pieces,Fresh coconut,Fresh coconut,4-Jan,1,cup,piece,FALSE,TRUE,TRUE,Fresh Coconut, 1/4,cup
129,1,1-1/2 cups Mixed vegetables - (potatoes,Mixed vegetables,Mixed vegetables - potatoes,1/1/2002,2-Jan,cups,cup,TRUE,TRUE,FALSE,Mixed Vegetables - potatoes,1 1/2,cups
129,5,1 inch Ginger - thinly sliced,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
131,2,1/2 cup Bajra Flour ( Pearl Millet),Bajra Flour ( Pearl Millet),Bajra Flour (Pearl Millet),2-Jan,2-Jan,cup,cup,TRUE,FALSE,FALSE,Bajra Flour (Pearl Millet), 1/2,cup
133,2,6 Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,6,6,,Pods,FALSE,FALSE,TRUE, Cardamom (Elaichi) Pods/Seeds,6    ,
133,3,6 Cloves (Laung),(Laung),Cloves,6,6,Cloves,,TRUE,FALSE,TRUE,Cloves (Laung),6    ,
133,4,1 Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,1,,,TRUE,FALSE,FALSE,Cinnamon Stick (Dalchini),1    ,
133,8,3-4 tablespoons Lemon juice,Lemon juice,Lemon juice,4-Mar,3,tablespoons,tablespoon,FALSE,TRUE,FALSE,Lemon Juice,3-4,tablespoons
133,16,1/2 tablespoon Ginger - paste,Ginger,Ginger - paste,2-Jan,2-Jan,tablespoon,tablespoon,TRUE,FALSE,FALSE,Ginger Paste, 1/2,tablespoon
133,17,1/2 tablespoon Garlic - paste,Garlic,Garlic - paste,2-Jan,2-Jan,tablespoon,tablespoon,TRUE,FALSE,FALSE,Garlic Paste , 1/2,tablespoon
133,18,5 - 6 Green Chillies,Green Chillies,Green Chillies,6-May,5,,,FALSE,TRUE,FALSE,Green Chilies,5-6,
133,19,2 - 3 Tomatoes - finely chopped,Tomatoes,Tomatoes,3-Feb,2,,,FALSE,TRUE,FALSE,Tomatoes,2-3,
133,20,1 Fresh coconut - handful,Fresh coconut,Fresh coconut,1,1,,handful,FALSE,FALSE,TRUE,Fresh Coconut,1    ,handful
133,21,1 Coriander (Dhania) Leaves - handful,Coriander (Dhania) Leaves,Coriander (Dhania) Leaves,1,1,,Leaf handful,FALSE,FALSE,TRUE,Coriander (Dhania) Leaves,1    ,handful
