name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key
red chilli powder,3,1 teaspoon red chilli powder; 1/2 teaspoon red chilli powder; 2 tablespoons red chilli powder,,red chilli powder
Arhar dal (Split Toor Dal),3,1/2 cup Arhar dal (Split Toor Dal); 1/2 cup Arhar dal (Split Toor Dal) - soaked for 30 minutes; 1/2 cup Arhar dal (Split Toor Dal),,arhar dal
Cinnamon,3,1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini),,cinnamon
Tapioca root,3,1 kg Tapioca root; 500 grams Tapioca root - skin peeled and chopped into small cubes; 2 Tapioca root,,tapioca root
Yellow Moong Dal (Split),3,1/4 cup Yellow Moong Dal (Split) - washed and soaked; 1/2 cup Yellow Moong Dal (Split); 1/2 cup Yellow Moong Dal (Split),,yellow moong dal
Cooked rice,3,1 cup Cooked rice; 1/4 cup Cooked rice; 1 cup Cooked rice,,cooked rice
Mutton,3,250 grams Mutton; 400 grams Mutton; 500 grams Mutton,,mutton
Baking powder,2,1/2 teaspoon Baking powder; 1/2 teaspoon Baking powder,,baking powder
okra,2,25 okra; 500 grams okra - cut,,okra
Cinnamon Powder (Dalchini),2,1 pinch Cinnamon Powder (Dalchini); 1 teaspoon Cinnamon Powder (Dalchini),,cinnamon powder
Tutti frutti,2,1/2 cup Tutti frutti; 100 grams Tutti frutti,,tutti frutti
Rum,2,3/4 cup Rum - or Double with orange juice; 100 ml Rum - or orange juice (adjust),,rum
Nutmeg powder,2,1 pinch Nutmeg powder; 1/4 teaspoon Nutmeg powder,,nutmeg powder
Tamarind Water,2,Tamarind Water - extract from a big lemon sized tamarind; 1 cup Tamarind Water,,tamarind water
green chili,2,1 green chili; green chili - chopped,,green chili
Seer fish,2,2 Seer fish - slices; 2 Seer fish - cleaned and cut,,seer fish
suran,2,1/2 cup suran - chopped; 2 cups suran - chopped,,suran
raw banana,2,1/2 cup raw banana - chopped; 1 raw banana - peel and chop straight,,raw banana
Coconut Milk,2,1/2 cup Coconut milk - or grated fresh coconut; 1-1/2 cups Coconut milk - (2nd & 3rd extract),Fresh,coconut milk
Nendra Pazham Banana (Ripe),2,2 Nendra Pazham Banana (Ripe) - sliced into rounds; 2 Nendra Pazham Banana (Ripe),,nendra pazham banana
dry red chilies,2,2 dry red chillies - break; 2-3 Dry Red Chillies,Dry,dry red chilie
Lukewarm Water,2,Lukewarm Water - to knead; Lukewarm Water - as required,,lukewarm water
Vinegar,2,2 tablespoon Vinegar; 1/4 teaspoon Vinegar,,vinegar
Basmati rice,2,2 tablespoons Basmati rice - boiled; 3 cups Basmati rice - soaked for 25-35 minutes,,basmati rice
Meat masala,2,1 tablespoon Meat masala; 1/2 teaspoon Meat masala,,meat masala
Tamarind Paste,2,1 teaspoon Tamarind Paste; 2 tablespoons Tamarind Paste,,tamarind paste
 Cardamom (Elaichi) Pods/Seeds,2,1 Cardamom (Elaichi) Pods/Seeds; 6 Cardamom (Elaichi) Pods/Seeds,,cardamom elaichi pod seed
Ginger Paste,2,1/2 tablespoon Ginger - paste; 1 teaspoon Ginger - paste,,ginger paste
Black Urad Dal (Split),2,1/4 teaspoon Black Urad Dal (Split); 1 teaspoon Black Urad Dal (Split),,black urad dal
black pepper powder,2,1/4 teaspoon black pepper powder; 1 tsp black pepper powder,,black pepper powder
Chayote,2,1 Chayote - peeled and diced; 3 Chayote,,chayote
red chili,2,1 red chili; 1 red chili,,red chili
Bay leaf (tej patta),2,1 Bay leaf (tej patta); 1 Bay leaf (tej patta),,bay leaf
Jackfruit Raw (Kathal),2,1 cup Jackfruit Raw (Kathal) - chopped finely; 1 Jackfruit Raw (Kathal) - with skin shaved off,,jackfruit raw
