recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,verdict,corrected_name,corrected_qty,corrected_unit,corrected_state
89,1,300 grams Banana Stem - peeled and cut into dices,name,Banana Stem,Banana Stems,300,300,grams,gram,peeled and cut into dices,peeled and cut into dices,,,ok,,,,
89,5,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
90,6,2 Cardamom (Elaichi) Pods/Seeds - powdered,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,2,2,,Pods,powdered,powdered,,,ok,,,,
91,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
91,7,1 inch Ginger - grated,qty;unit,Ginger,Ginger,1,,inch,,grated,grated,,,ok,,,,
92,4,1 inch Ginger - chopped,qty;unit,Ginger,Ginger,1,,inch,,chopped,chopped,,,ok,,,,
92,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
92,10,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,ok,,,,
93,1,1 cup Cauliflower (gobi) - florets,name;state,Cauliflower (gobi),Cauliflower (gobi); florets,1,1,cup,cup,florets,,,,ok,,,,
93,3,2 to 3 tablespoons Green peas (Matar) - fresh or frozen,qty;state,Green peas (Matar),Green peas (Matar),2to3,2,tablespoons,tablespoon,fresh or frozen,,fresh or frozen,,ok,,,,fresh or frozen
93,12,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,ok,,,,
93,14,1 cup Coconut milk - thin,state,Coconut milk,Coconut milk,1,1,cup,cup,thin,,thin,,ok,,,,thin
93,15,1/2 cup Coconut milk - thick,state,Coconut milk,Coconut milk,1/2,1/2,cup,cup,thick,,,,ok,,,,
93,16,Salt - as required,state,Salt,Salt,,,,,as required,,as required,,ok,,,,as required
93,17,4 to 5 Cashew nuts - broken,qty,Cashew nuts,Cashew nuts,4to5,4,,,broken,broken,,,ok,,,,
93,18,Sunflower Oil - as required,state,Sunflower Oil,Sunflower Oil,,,,,as required,,as required,,ok,,,,as required
94,11,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
95,2,1 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,,,,,ok,,,,
95,4,5 Cloves (Laung),name;unit,(Laung),Cloves,5,5,Cloves,,,,(Laung),,ok,,,,(Laung)
95,5,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,ok,,,,
95,7,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
95,8,1 inch Ginger,qty;unit,Ginger,Ginger,1,,inch,,,,,,ok,,,,
96,7,1/2 tsp cardamom powder - more or less,state,cardamom powder,cardamom powder,1/2,1/2,tsp,teaspoon,more or less,,more or less,,ok,,,,more or less
96,8,3 tbsp jaggery - Add more or less salt to taste,state,jaggery,jaggery,3,3,tbsp,tablespoon,Add more or less salt to taste,,Add more or less salt to taste,,ok,,,,Add more or less salt to taste
97,12,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
98,1,250 grams small potatoes - half cut,state,small potatoes,small potatoes,250,250,grams,gram,half cut,,half cut,,ok,,,,half cut
98,5,1 inch ginger - chopped,qty;unit,ginger,ginger,1,,inch,,chopped,chopped,,,ok,,,,
98,16,coconut oil - to cook,state,coconut oil,coconut oil,,,,,to cook,,to cook,,ok,,,,to cook
98,17,salt - to taste,state,salt,salt,,,,,to taste,,to taste,,ok,,,,to taste
99,1,1 cup Red matta rice - or Basmati Rice,name;state,Red matta rice,Red matta rice; Basmati Rice,1,1,cup,cup,or Basmati Rice,,,,ok,,,,
99,2,1-1/2 cups Fresh coconut - grated,qty,Fresh coconut,Fresh coconut,1-1/2,1/2,cups,cup,grated,grated,,,ok,,,,
100,2,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,ok,,,,
100,10,1 inch Ginger - chopped,qty;unit,Ginger,Ginger,1,,inch,,chopped,chopped,,,ok,,,,
100,14,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,ok,,,,
100,15,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
100,19,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,ok,,,,
101,2,turmeric powder - a pinch,state,turmeric powder,turmeric powder,,,,,a pinch,,a pinches,,ok,,,,a pinches
101,6,salt - 1 sprig curry leaves,name;qty;unit;state,salt,salt; curry leaves,,1,,sprig,1 sprig curry leaves,,,,ok,,,,
101,7,as per taste,name,as per taste,,,,,,,,as per taste,,ok,,,,as per taste
