norm_key,generic_name,n_lines,chosen_ifct_code,hierarchical,rank_found,fallback_code,fallback_source,reviewer_notes
kala chana brown chickpea,Kala Chana (Brown Chickpeas),1,B002,N,miss,,,"Chana, kala = bengal gram, wholee"
karela bitter gourd/ pavakkai,Karela (Bitter Gourd/ Pavakkai),1,D005,Y,miss,,,default to long bitter gourd
mixed dry fruit apricot,Mixed dry fruits (Apricot),1,E005,N,3,,,
mixed nut almond,Mixed nuts (Almond),1,H001,N,1,,,
mixed vegetable green bean,Mixed vegetables (Green Beans),1,D050,Y,miss,,,"green bean = french bean, hybrid"
mixed vegetable potato,Mixed vegetables (Potatoes),1,F007,Y,miss,,,default to small brown potatoes
mooli/ mullangi radish,Mooli/ Mullangi (Radish),1,F011,Y,miss,,,"default to round, red radish"
mustard oil,Mustard oil,1,T006,N,1,,,
orange,Orange,1,,,absent,,,USDA
palm sugar,Palm sugar,1,,,absent,,,USDA
papad,Papad,1,,,absent,,,"pappadam, find somewhere else"
papaya,Papaya,1,E049,N,2,,,
papaya juice,Papaya juice,1,,,absent,,,USDA
poppy seed,Poppy seeds,1,G032,N,1,,,
ragi flour finger millet/ nagli,Ragi Flour (Finger Millet/ Nagli),1,A010,N,1,,,
rasam powder,Rasam Powder,1,,,absent,,,USDA
raw peanut moongphali,Raw Peanuts (Moongphali),1,H012,N,miss,,,"Moog Phali is found in ""lang"" of ground nut "
red black eyed bean azuki,Red Black Eyed Beans (Azuki),1,,,absent,,,azuki not found in ifct
red chilli flake,Red Chilli flakes,1,G022,N,1,,,"""flake"" may be different from regular red chili"
rice ada,Rice ada,1,,,absent,,,rice ada has no IFCT equiv
rice puttu,Rice puttu,1,,,absent,,,puttu has no IFCT equiv
saffron strand,Saffron strands,1,,,absent,,,USDA
sambar powder,Sambar Powder,1,,,absent,,,USDA
shallot pearl onion,Shallots (pearl onions),1,,,absent,,,could replace with small onion
shrimp,Shrimps,1,Q008,Y,miss,,,giant tiger prawn likely found in Kerala 
squid,Squid,1,R004,Y,1,,,default to black squid
sweet potato,Sweet Potatoes,1,F013,Y,1,,,default to brown potato
tulsi holy basil,Tulsi (holy basil),1,,,absent,,,USDA
vanilla extract,Vanilla Extract,1,,,absent,,,USDA
vivatta maida,Vivatta Maida,1,A018,N,miss,,,Maida = wheat flour 
yam,Yam,1,F017,Y,1,,,default to elephant yam
black gram,black gram,1,B004,Y,2,,,default to whole
brinjal,brinjals,1,D031,Y,22,,,
cardamom powder,cardamom powder,1,G020,N,1,,,
coriander,coriander,1,G024,Y,2,,,default to seed
coriander leaves,coriander leaves,1,G009,N,1,,,
cumin powder,cumin powder,1,G025,N,1,,,
curd,curd,1,,,absent,,,USDA
curry leaf,curry leaf,1,G010,N,miss,,,missed parser
dry red chili,dry red chili,1,G022,N,7,,,"requires ""dry"" variant"
egg,eggs,1,M001,N,1,,,
fenugreek seed,fenugreek seeds,1,G026,N,1,,,
ginger powder,ginger powder,1,,,absent,,,"USDA, fresh ginger != ginger powder (Dry) "
green coriander,green coriander,1,G009,N,miss,,,
green pea,green peas,1,B017,N,3,,,dry form default 
hot masala powder,hot Masala powder,1,,,absent,,,USDA
luke warm water,luke warm water,1,,,absent,,,USDA
olive oil,olive oil,1,,,absent,,,USDA
pepper powder,pepper powder,1,G031,N,1,,,
red chili powder,red chili powder,1,G022,N,5,,,"G022 is the whole/raw chilli entry, not a powder-specific row"
red chilli flax,red chilli flax,1,G022,N,1,,,
small potato,small potatoes,1,F007,N,1,,,
tulsi,tulsi,1,,,absent,,,basil is absent
turmeric,turmeric,1,G033,N,1,,,
white urad dal,white urad dal,1,B003,N,miss,,,Urad dal = black gram dal
whole black pepper,whole black pepper,1,G031,N,1,,,
whole pepper,whole pepper,1,G031,Y,9,,,default to black pepper
